Actual,Predicted,Error
38.03,42.35321311,-4.323213111
40.78,38.9635998,1.816400202
44.9,43.05500588,1.844994117
45.94,47.28565187,-1.345651872
53.28,47.58458239,5.695417605
48.47,56.6355393,-8.165539305
43.15,49.52667151,-6.376671514
46.84,44.51580553,2.324194466
48.15,50.37662395,-2.226623946
54.19,49.7890919,4.400908105
52.98,56.26178669,-3.281786689
49.83,54.65879683,-4.82879683
56.35,51.9180864,4.431913598
59,60.98831976,-1.988319762
64.99,61.6967332,3.293266804
65.59,67.51815067,-1.928150674
62.26,67.21220433,-4.95220433
58.32,63.72682012,-5.406820123
59.41,59.48353768,-0.073537683
65.49,60.99613161,4.493868394
61.63,67.48823366,-5.858233664
62.69,62.85912396,-0.169123964
69.44,66.73393851,2.706061495
70.84,74.68441582,-3.844415819
70.95,73.37483331,-2.424833305
74.41,72.17126527,2.238734726
73.04,76.04998378,-3.009983776
63.8,74.23655886,-10.43655886
58.89,63.70767763,-4.817677634
59.08,59.97529115,-0.895291154
61.96,60.38285675,1.577143254
54.51,63.06596035,-8.555960354
59.28,54.87728256,4.402717444
60.44,63.81941501,-3.379415012
63.98,63.39997438,0.580025618
63.46,66.54989445,-3.089894446
67.49,64.49786669,2.992133313
74.12,69.34169079,4.778309206
72.36,76.95958239,-4.599582387
79.92,74.27061336,5.649386642
85.8,84.45075124,1.349248761
94.77,89.19809342,5.57190658
91.69,98.36161129,-6.671611293
92.97,93.36172521,-0.391725212
95.39,95.9387752,-0.5487752
105.45,98.33280119,7.117198813
112.58,109.1397834,3.440216616
125.4,116.0653677,9.334632254
133.88,130.6106056,3.269394366
133.37,138.6217634,-5.251763358
116.67,136.3351508,-19.66515082
104.11,115.1874723,-11.07747232
76.61,103.7960309,-27.18603091
57.31,70.41622654,-13.10622654
41.12,52.2771968,-11.1571968
41.71,36.00342734,5.706572661
39.09,40.6595221,-1.569522098
47.94,40.37680462,7.56319538
49.65,54.48354385,-4.833543848
59.03,54.51525847,4.51474153
69.64,65.01379855,4.626201447
64.15,73.93326862,-9.783268617
71.05,65.14169912,5.908300876
69.41,75.23891896,-5.828918965
75.72,70.46775145,5.252248546
77.99,78.39902355,-0.40902355
74.47,79.79624569,-5.326245692
78.33,75.05942188,3.270578116
76.39,81.37890018,-4.988900177
81.2,77.7318597,3.468140304
84.29,84.58398908,-0.293989076
73.74,86.71101017,-12.97101017
75.34,73.11122645,2.228773549
76.32,79.10140908,-2.781409083
76.6,78.57605794,-1.976057939
75.24,77.83593132,-2.595931318
81.89,75.4601633,6.429836702
84.25,84.49638865,-0.246388647
89.15,86.73918901,2.41081099
89.17,92.60440334,-3.434403336
88.58,91.73926478,-3.159264783
102.86,90.23365599,12.62634401
109.53,107.3410379,2.18896206
100.9,113.8860957,-12.9860957
96.26,101.8897435,-5.629743504
97.3,99.53990849,-2.23990849
